epoch, inception_score 
0, 1.59
1, 1.44
2, 1.73
3, 1.62
4, 1.65
5, 1.7
6, 1.54
7, 1.58
8, 1.57
9, 1.63
10, 1.81
11, 1.76
12, 1.72
13, 1.65
14, 1.77
15, 1.79
16, 1.58
17, 1.89
18, 1.91
19, 1.67
20, 1.65
21, 1.76
22, 1.78
23, 1.77
24, 1.8
25, 1.75
26, 1.77
27, 1.83
28, 2.0
29, 1.77
30, 1.83
31, 1.81
32, 1.95
33, 1.87
34, 1.83
35, 1.97
36, 1.83
37, 1.87
38, 1.9
39, 2.01
40, 1.82
41, 1.9
42, 2.02
43, 1.9
44, 1.83
45, 1.83
46, 1.83
47, 1.84
48, 1.73
49, 2.04
