epoch, inception_score 
0, 1.63
1, 1.74
2, 1.81
3, 1.85
4, 1.88
5, 1.9
6, 1.86
7, 1.89
8, 1.79
9, 1.78
10, 1.65
11, 1.77
12, 1.69
13, 1.94
14, 1.82
15, 1.97
16, 1.98
17, 1.88
18, 1.92
19, 1.93
20, 1.91
21, 1.91
22, 2.17
23, 1.91
24, 2.04
25, 1.86
26, 1.8
27, 1.8
28, 1.9
29, 1.99
30, 1.92
31, 1.92
32, 1.95
33, 1.78
34, 1.9
35, 2.0
36, 1.87
37, 1.88
38, 2.05
39, 1.84
40, 2.0
41, 2.09
42, 2.09
43, 1.88
44, 1.88
45, 1.96
46, 1.97
47, 2.11
48, 1.92
49, 1.84
